storeId,departmentId,ma,ar,nDiff,baseLineMAE,actualMAE
1.0,4.0,4.0,4.0,0.0,1751.6241666666658,1696.438047096238
1.0,5.0,4.0,1.0,0.0,3918.0575000000003,2861.0829134190317
1.0,7.0,1.0,5.0,0.0,4467.215833333333,3510.325411506629
1.0,12.0,5.0,2.0,0.0,1401.3975000000003,1026.218293558142
1.0,18.0,3.0,10.0,0.0,6614.623333333334,3895.766153363922
1.0,19.0,9.0,2.0,0.0,268.71999999999997,258.7647622000304
1.0,21.0,1.0,1.0,0.0,764.185,455.2425267798912
1.0,22.0,2.0,1.0,0.0,1337.5516666666665,871.7799851425301
1.0,38.0,9.0,4.0,0.0,7368.253333333333,6030.7962898033775
1.0,40.0,9.0,4.0,0.0,2556.491666666668,1853.076571992775
1.0,42.0,2.0,2.0,0.0,814.2699999999999,630.0300921917984
1.0,48.0,3.0,1.0,0.0,878.0,720.1610311112445
1.0,49.0,1.0,1.0,0.0,1933.0858333333333,1362.2674988287501
1.0,52.0,2.0,1.0,0.0,405.9525000000001,247.2206462015598
1.0,54.0,8.0,1.0,0.0,40.931666666666665,25.369117886265354
1.0,83.0,5.0,1.0,0.0,800.7033333333335,668.962869200691
2.0,4.0,4.0,8.0,0.0,2033.521666666665,2030.1886023615637
2.0,5.0,4.0,1.0,0.0,3788.665833333334,2651.6737741822835
2.0,7.0,2.0,5.0,0.0,7659.115000000001,4666.964085152085
2.0,9.0,1.0,5.0,0.0,4764.710833333334,4010.226289698445
2.0,17.0,2.0,1.0,0.0,767.7499999999999,688.6220780671557
2.0,18.0,4.0,10.0,0.0,9699.135,7008.267133740691
2.0,21.0,4.0,1.0,0.0,794.0283333333332,695.2703500941542
2.0,25.0,1.0,1.0,0.0,2205.7858333333334,1699.3122009505084
2.0,26.0,2.0,1.0,0.0,1505.4508333333335,1122.4966186271374
2.0,34.0,2.0,1.0,0.0,2309.148333333333,1802.482293285706
2.0,37.0,2.0,1.0,0.0,477.28999999999996,387.68861967940546
2.0,41.0,1.0,1.0,0.0,1357.6741666666665,591.9678637871201
2.0,49.0,2.0,2.0,0.0,2669.1499999999996,2276.953815033044
2.0,52.0,2.0,1.0,0.0,894.6866666666665,248.1166075001546
2.0,58.0,4.0,1.0,0.0,6436.7525,5474.201234868458
2.0,71.0,1.0,1.0,0.0,887.4333333333334,729.0533306282296
2.0,72.0,4.0,1.0,0.0,17742.835000000003,7895.309875553023
2.0,83.0,4.0,1.0,0.0,753.1850000000001,621.1890446594657
2.0,87.0,1.0,1.0,0.0,4208.5425000000005,3826.7666742704228
2.0,91.0,9.0,4.0,0.0,2738.0499999999993,1888.3680255550887
2.0,96.0,5.0,1.0,0.0,4582.05,2209.601758974237
2.0,97.0,4.0,4.0,0.0,2031.0074999999997,1763.8026228192132
3.0,5.0,4.0,1.0,0.0,3826.964166666666,2193.380838604711
3.0,12.0,3.0,1.0,0.0,394.5350000000001,193.64492704874147
3.0,14.0,4.0,4.0,0.0,826.8375,438.4938105750771
3.0,17.0,3.0,1.0,0.0,501.90083333333337,430.135700611156
3.0,18.0,3.0,2.0,0.0,2306.1583333333333,1127.2625021349031
3.0,19.0,1.0,1.0,0.0,279.2541666666666,108.649709307464
3.0,22.0,3.0,1.0,0.0,1311.763333333333,914.6400247687761
3.0,24.0,2.0,1.0,0.0,1387.2166666666665,1138.727253549797
3.0,26.0,4.0,1.0,0.0,691.6075,468.8766376959868
3.0,27.0,4.0,5.0,0.0,139.26500000000001,93.4129200319278
3.0,28.0,7.0,2.0,0.0,37.01000000000001,21.495755352716703
3.0,29.0,1.0,1.0,0.0,223.91666666666666,216.76267758141634
3.0,32.0,1.0,1.0,0.0,1429.0400000000002,985.6382599583873
3.0,33.0,1.0,1.0,0.0,1245.9816666666668,754.1310271581918
3.0,52.0,1.0,1.0,0.0,159.635,151.81901164542552
3.0,54.0,2.0,1.0,0.0,48.593333333333334,22.22174717177772
3.0,55.0,4.0,1.0,0.0,1093.7483333333332,938.3391344054253
3.0,72.0,4.0,1.0,0.0,5803.216666666668,3004.4951967624365
3.0,79.0,4.0,1.0,0.0,904.7308333333334,476.7703066327427
3.0,82.0,2.0,1.0,0.0,1791.7566666666664,944.6099426805604
3.0,96.0,1.0,1.0,0.0,949.8041666666664,567.0042946344255
4.0,5.0,4.0,1.0,0.0,5683.473333333335,4062.203226616362
4.0,10.0,4.0,1.0,0.0,2757.171666666667,2124.925097178359
4.0,17.0,2.0,1.0,0.0,1367.3283333333336,423.68853427610094
4.0,19.0,6.0,1.0,0.0,672.3475,240.5033088693102
4.0,21.0,4.0,1.0,0.0,781.6933333333335,517.8790607965739
4.0,22.0,4.0,1.0,0.0,2324.7216666666664,1763.2482331227366
4.0,27.0,4.0,1.0,0.0,446.9583333333333,428.2576949193153
4.0,29.0,2.0,1.0,0.0,888.6974999999998,713.5481497381288
4.0,48.0,10.0,1.0,0.0,2019.7866666666669,1892.1689167339134
4.0,58.0,1.0,1.0,1.0,3138.3333333333335,2460.18638711613
4.0,71.0,1.0,1.0,0.0,1444.8533333333328,1178.7061312541202
4.0,72.0,4.0,1.0,0.0,17015.969166666673,12724.27024967577
4.0,79.0,4.0,2.0,0.0,3905.390833333333,2736.84263036174
4.0,82.0,2.0,1.0,0.0,2526.1108333333327,1852.5314561387047
5.0,7.0,2.0,5.0,0.0,1051.1549999999997,986.1240422574647
5.0,10.0,4.0,1.0,0.0,1201.2191666666665,983.2649929964387
5.0,14.0,4.0,4.0,0.0,465.72833333333347,422.74612120113807
5.0,17.0,1.0,1.0,0.0,375.92666666666656,286.4175220435066
5.0,21.0,1.0,1.0,0.0,159.93249999999998,148.3851527138011
5.0,24.0,1.0,1.0,0.0,862.6433333333331,434.87723282634266
5.0,25.0,3.0,1.0,0.0,382.96166666666664,275.3486501967282
5.0,26.0,3.0,1.0,0.0,371.76916666666665,338.26202850564937
5.0,27.0,7.0,2.0,0.0,115.22416666666668,99.69094477403824
5.0,28.0,8.0,2.0,0.0,38.722500000000004,28.65789883215595
5.0,31.0,2.0,1.0,0.0,358.41333333333336,272.93614196280856
5.0,32.0,1.0,1.0,0.0,596.2641666666667,450.993648680105
5.0,44.0,2.0,1.0,0.0,316.6891666666667,268.34978309599387
5.0,82.0,1.0,1.0,0.0,616.7475000000001,371.0215057465936
5.0,85.0,1.0,1.0,0.0,299.7916666666667,296.60699601224627
5.0,90.0,10.0,1.0,0.0,214.34166666666658,116.8698422406469
5.0,92.0,9.0,1.0,0.0,976.4074999999999,593.5662418834803
5.0,96.0,10.0,1.0,0.0,2118.845,764.7901647642288
5.0,97.0,2.0,1.0,0.0,74.2533333333333,68.864457030252
6.0,5.0,2.0,1.0,0.0,4018.7674999999995,3469.015875671919
6.0,6.0,4.0,1.0,0.0,1467.428333333333,1070.5744264621874
6.0,8.0,4.0,1.0,0.0,2946.835833333332,1545.1947977849657
6.0,17.0,1.0,1.0,0.0,1561.5500000000004,1398.4130786883516
6.0,18.0,4.0,10.0,0.0,11730.226666666667,8182.658736147721
6.0,19.0,7.0,1.0,0.0,602.2316666666667,223.53080061601818
6.0,22.0,4.0,1.0,0.0,1864.7558333333334,1552.7927207123023
6.0,23.0,2.0,1.0,0.0,3741.52,3681.0142937752025
6.0,26.0,2.0,1.0,0.0,1785.6166666666668,1009.1242199236659
6.0,37.0,4.0,4.0,0.0,383.23916666666673,298.0527188850846
6.0,49.0,3.0,1.0,0.0,2131.7016666666673,1902.9546147206445
6.0,52.0,2.0,1.0,0.0,683.3266666666665,303.0956889725158
6.0,54.0,3.0,1.0,0.0,88.12166666666667,70.73449358138606
6.0,71.0,1.0,1.0,0.0,517.9641666666666,489.7765693088565
6.0,80.0,4.0,1.0,0.0,1012.650833333333,467.49367399829663
6.0,82.0,1.0,1.0,0.0,1953.8041666666666,1325.4032260207557
6.0,91.0,4.0,4.0,0.0,1604.2524999999998,1450.6844767844352
6.0,93.0,4.0,4.0,0.0,6271.652500000001,2918.4148799352956
6.0,97.0,4.0,4.0,0.0,1331.1200000000001,1066.7477788684473
7.0,5.0,4.0,4.0,0.0,2119.3875,1370.9546069427117
7.0,8.0,2.0,2.0,0.0,1141.8483333333331,878.0550596674615
7.0,11.0,6.0,1.0,0.0,4143.699166666666,1709.904871706992
7.0,12.0,9.0,5.0,0.0,2668.5933333333332,2568.8627842675482
7.0,14.0,4.0,1.0,0.0,1041.8574999999998,884.697377496016
7.0,17.0,5.0,2.0,0.0,1050.1108333333334,651.8436223482573
7.0,20.0,4.0,1.0,0.0,475.68083333333334,161.87532179125324
7.0,24.0,4.0,1.0,0.0,556.2433333333335,539.0585151417354
7.0,25.0,4.0,1.0,0.0,788.5958333333334,486.5965227908136
7.0,27.0,4.0,1.0,0.0,94.1075,86.8292506465195
7.0,29.0,3.0,1.0,0.0,217.03416666666666,179.62244008658527
7.0,33.0,2.0,1.0,0.0,701.2600000000001,531.5061952370573
7.0,36.0,4.0,1.0,0.0,573.6474999999999,423.0899729756766
7.0,41.0,3.0,1.0,0.0,772.6616666666665,676.5644346420869
7.0,44.0,3.0,1.0,0.0,414.7908333333333,273.8093354257773
7.0,52.0,8.0,2.0,0.0,239.74249999999998,213.2707259299642
7.0,59.0,5.0,1.0,0.0,66.49,18.645574253644288
7.0,60.0,1.0,1.0,0.0,32.099999999999994,30.66494518348469
7.0,72.0,4.0,4.0,0.0,6654.816666666666,5132.373324564963
7.0,85.0,2.0,1.0,0.0,535.7316666666667,388.122135106459
7.0,94.0,9.0,1.0,0.0,1062.2033333333334,688.2269024876955
7.0,98.0,4.0,1.0,0.0,129.85583333333332,75.36267476826752
8.0,5.0,4.0,1.0,0.0,3323.1483333333344,2865.609154787464
8.0,7.0,1.0,5.0,0.0,3224.535833333334,3016.881521850373
8.0,10.0,1.0,1.0,0.0,2466.5816666666665,1549.3801777390554
8.0,14.0,4.0,1.0,0.0,1140.9683333333335,623.4595513767696
8.0,17.0,2.0,1.0,0.0,869.2750000000002,713.857664897559
8.0,18.0,4.0,1.0,0.0,5627.591666666666,3344.8909283968237
8.0,19.0,7.0,1.0,0.0,202.1983333333333,92.47068361133692
8.0,23.0,1.0,1.0,0.0,2368.703333333334,1908.1776941767887
8.0,29.0,2.0,1.0,0.0,270.2191666666666,243.51674530022262
8.0,42.0,1.0,1.0,0.0,533.1241666666668,453.41419469201963
8.0,44.0,2.0,1.0,0.0,633.2058333333333,626.6029976632584
8.0,49.0,5.0,2.0,0.0,958.0666666666666,568.3891252169091
8.0,52.0,4.0,1.0,0.0,493.0308333333333,215.45163041403558
8.0,54.0,1.0,1.0,0.0,70.80499999999999,54.937254407901726
8.0,58.0,1.0,1.0,1.0,871.6666666666666,685.7188774626538
8.0,71.0,2.0,1.0,0.0,827.9183333333332,708.0609484512606
8.0,72.0,4.0,1.0,0.0,8153.051666666666,4718.760847785062
8.0,82.0,1.0,1.0,0.0,1082.1591666666666,938.5545296485448
8.0,85.0,2.0,1.0,0.0,426.8,370.63429886432374
8.0,91.0,9.0,9.0,0.0,1383.8008333333328,630.88019564906
8.0,95.0,9.0,4.0,0.0,2136.33,1574.8200757534585
9.0,5.0,4.0,1.0,0.0,2485.5883333333336,1895.6453975680781
9.0,6.0,4.0,4.0,0.0,569.0816666666666,528.9219211014021
9.0,14.0,4.0,5.0,0.0,506.47916666666674,453.8466550294565
9.0,17.0,1.0,1.0,0.0,608.3725,588.8363916471997
9.0,18.0,2.0,1.0,0.0,3992.1074999999996,1887.4410455142252
9.0,19.0,1.0,1.0,0.0,297.05583333333334,241.99123866269315
9.0,21.0,2.0,1.0,0.0,334.8858333333333,311.77719640043046
9.0,22.0,4.0,2.0,0.0,1641.5341666666666,1093.022776882615
9.0,23.0,3.0,1.0,0.0,2268.7675000000004,1894.064402811878
9.0,24.0,2.0,1.0,0.0,1191.2358333333334,895.3535696595712
9.0,25.0,1.0,1.0,0.0,576.8033333333334,459.76652917914845
9.0,27.0,4.0,1.0,0.0,157.54,125.65180215573501
9.0,28.0,7.0,2.0,0.0,67.53666666666668,64.95503897303199
9.0,31.0,2.0,1.0,0.0,658.4599999999999,364.65719101567385
9.0,33.0,1.0,1.0,0.0,1061.4516666666668,919.1398374396337
9.0,52.0,1.0,1.0,0.0,223.58666666666667,151.30184298789877
9.0,82.0,1.0,1.0,0.0,1238.2691666666667,651.058503029394
9.0,96.0,5.0,1.0,0.0,422.32333333333327,349.31152184191114
10.0,5.0,4.0,1.0,0.0,8848.66416666667,7583.160369765855
10.0,12.0,6.0,2.0,0.0,575.0300000000001,461.4240480787658
10.0,18.0,3.0,8.0,0.0,11358.796666666667,10651.698771389772
10.0,19.0,2.0,1.0,0.0,355.7225,253.4903694544804
10.0,37.0,1.0,1.0,0.0,295.93333333333334,230.8069696522874
10.0,40.0,8.0,6.0,0.0,3431.979999999998,2227.760102076103
10.0,42.0,3.0,1.0,0.0,663.475,596.6533289332647
10.0,49.0,5.0,1.0,0.0,2935.171666666667,1638.8935746584993
10.0,60.0,2.0,1.0,0.0,80.25,59.32761917585665
10.0,80.0,8.0,1.0,1.0,362.93000000000006,348.8428980746424
10.0,82.0,1.0,1.0,0.0,1772.849166666667,1348.641349170124
10.0,83.0,4.0,1.0,0.0,51.21333333333334,36.33083788622552
10.0,85.0,1.0,1.0,0.0,416.2016666666666,296.9986314982579
10.0,91.0,1.0,6.0,0.0,1217.6516666666664,905.7040650043228
10.0,92.0,4.0,1.0,0.0,2314.526666666667,2272.1593754540395
10.0,98.0,1.0,1.0,0.0,247.83916666666664,222.8264622152607
11.0,5.0,4.0,1.0,0.0,4729.235833333333,4232.427116784507
11.0,6.0,4.0,1.0,0.0,1677.7325,1427.2648282156445
11.0,7.0,1.0,1.0,0.0,7391.8125,4584.60511452609
11.0,14.0,1.0,1.0,0.0,2558.178333333333,2053.2244359692254
11.0,21.0,1.0,1.0,0.0,556.365,537.9132169379934
11.0,22.0,2.0,1.0,0.0,1779.1925,1012.8699846954829
11.0,26.0,2.0,1.0,0.0,1543.6474999999994,1369.0057638727894
11.0,31.0,2.0,1.0,0.0,998.0058333333332,932.5670480828926
11.0,38.0,5.0,5.0,0.0,7915.799999999999,7104.428046670211
11.0,40.0,9.0,10.0,0.0,2896.0608333333334,1577.463317231505
11.0,49.0,2.0,1.0,0.0,1551.4175000000002,833.9040077104368
11.0,58.0,10.0,1.0,0.0,1076.5858333333333,787.5948126952468
11.0,71.0,3.0,1.0,0.0,1829.190833333334,1121.1863677398385
11.0,82.0,1.0,1.0,0.0,2401.058333333334,2225.007624049631
11.0,83.0,5.0,4.0,0.0,426.62166666666667,222.38774246198128
11.0,85.0,2.0,1.0,0.0,368.89333333333326,204.83103220402054
11.0,91.0,9.0,10.0,0.0,1897.7433333333338,1740.7824665312576
11.0,93.0,9.0,4.0,0.0,1332.6666666666663,1257.8992134775008
12.0,5.0,4.0,1.0,0.0,3711.2549999999997,3257.2274180491936
12.0,17.0,3.0,1.0,0.0,1107.8291666666667,1007.6962919000952
12.0,19.0,2.0,1.0,0.0,694.3358333333332,456.7342372503217
12.0,22.0,2.0,1.0,0.0,1229.6249999999998,982.3914289756498
12.0,29.0,4.0,1.0,0.0,1221.2291666666667,1032.892332594972
12.0,40.0,9.0,6.0,0.0,3564.9816666666666,1908.5910588660747
12.0,80.0,4.0,1.0,0.0,153.7125,140.63121014447287
12.0,82.0,2.0,1.0,0.0,1201.73,1117.0061498443145
12.0,98.0,4.0,1.0,0.0,300.605,216.49107586559137
13.0,5.0,2.0,1.0,0.0,11671.388333333334,7588.14781765308
13.0,10.0,4.0,2.0,0.0,2264.4133333333334,2002.1967995593916
13.0,11.0,4.0,2.0,0.0,2305.3691666666673,1450.438964625905
13.0,14.0,4.0,5.0,0.0,3623.0950000000007,1966.254703970406
13.0,17.0,2.0,1.0,0.0,1316.1200000000003,1244.663098172154
13.0,19.0,2.0,1.0,0.0,1292.5433333333333,754.7025156608969
13.0,20.0,4.0,1.0,0.0,1290.125,1239.765940073569
13.0,21.0,1.0,1.0,0.0,532.5041666666667,485.19584323948834
13.0,22.0,2.0,5.0,0.0,2245.15,1647.675348724134
13.0,23.0,1.0,1.0,0.0,3844.205833333333,3014.481619630577
13.0,24.0,2.0,5.0,0.0,3823.878333333334,3692.028990369275
13.0,25.0,1.0,1.0,0.0,3069.2983333333336,2672.5034565345222
13.0,27.0,2.0,1.0,0.0,727.9,701.0039520768167
13.0,29.0,2.0,1.0,0.0,654.9183333333334,585.5578600181759
13.0,30.0,8.0,1.0,0.0,702.6158333333336,651.0134331523851
13.0,31.0,2.0,1.0,0.0,2263.6175,2210.4011498540663
13.0,36.0,3.0,1.0,0.0,2689.059166666667,1910.1295802952272
13.0,40.0,6.0,2.0,0.0,5240.671666666666,3118.7807753568777
13.0,49.0,2.0,1.0,0.0,1577.4825,1184.1138408878762
13.0,52.0,4.0,2.0,0.0,923.7533333333331,440.1482410056642
13.0,54.0,1.0,1.0,1.0,39.93666666666667,22.60131733603414
13.0,60.0,1.0,1.0,0.0,131.78333333333333,119.87798618053289
13.0,71.0,1.0,1.0,0.0,1037.3583333333338,911.0816414306605
13.0,85.0,1.0,1.0,0.0,697.8666666666667,621.3410155319672
14.0,5.0,4.0,5.0,0.0,4789.754166666667,3749.726577016452
14.0,6.0,4.0,1.0,0.0,1546.0208333333333,1541.4837655107722
14.0,10.0,2.0,1.0,0.0,4745.68,3930.4193074175655
14.0,12.0,6.0,1.0,0.0,951.8558333333334,655.0379977128731
14.0,13.0,6.0,2.0,0.0,11910.959166666666,4081.608402457226
14.0,17.0,2.0,1.0,0.0,2913.620833333333,1923.6288109895168
14.0,21.0,1.0,1.0,0.0,1654.0383333333336,1302.4980085629704
14.0,22.0,2.0,5.0,0.0,2702.2058333333334,2545.5137071104236
14.0,24.0,1.0,1.0,0.0,2202.8325,1844.7299007718013
14.0,25.0,2.0,1.0,0.0,3391.7641666666673,2314.4426440284074
